Gene,N_runs,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc
11733691_a_at,5,1.0,0.8518518518518519,0.25660011963983365,0.75
11717267_x_at,5,1.0,0.6888888888888889,0.4331908597692873,0.75
11746639_a_at,5,1.0,0.7333333333333334,0.387917658452627,0.75
11733611_a_at,5,1.0,0.7407407407407407,0.4057204129667897,0.75
11741035_a_at,5,1.0,0.711111111111111,0.41275945824459354,0.75
11718387_s_at,5,1.0,0.8,0.3094310899882285,0.75
11757383_a_at,5,1.0,0.837037037037037,0.3060882001688057,0.75
11717836_a_at,5,1.0,0.8,0.2981423969999719,0.75
11728926_at,5,1.0,0.8814814814814815,0.18030609547611978,0.6666666666666666
11759407_at,5,1.0,0.9037037037037038,0.1952803900216899,0.5833333333333334
11720739_s_at,5,1.0,0.8148148148148149,0.30541523152723404,0.4166666666666667
11754832_a_at,5,1.0,0.7333333333333334,0.40858415912656626,0.3333333333333333
11737423_a_at,5,1.0,0.8592592592592592,0.22589556565891708,0.25
11756746_s_at,5,1.0,0.9333333333333333,0.09938079899999061,0.25
11731879_a_at,5,1.0,0.674074074074074,0.4584221762004682,0.25
11732415_s_at,5,1.0,0.6888888888888889,0.4292143586909077,0.25
11740206_x_at,5,1.0,0.6370370370370371,0.4971799761348099,0.25
11746195_x_at,5,1.0,0.6074074074074074,0.5377390048261196,0.25
11722269_a_at,5,1.0,0.6962962962962963,0.4493555818697215,0.25
11732373_a_at,5,1.0,0.8222222222222222,0.26501546399997505,0.25
11740096_a_at,5,0.962962962962963,0.7333333333333334,0.3488173237917364,0.75
11725165_a_at,5,0.962962962962963,0.674074074074074,0.4330325008315265,0.75
11717208_at,5,0.962962962962963,0.8444444444444444,0.18030609547611975,0.75
11756361_x_at,5,0.962962962962963,0.7703703703703704,0.3966595773478605,0.75
11739069_s_at,5,0.962962962962963,0.6370370370370371,0.4831878594755684,0.75
11722387_at,5,0.962962962962963,0.762962962962963,0.4308093636620844,0.75
11731728_at,5,0.962962962962963,0.5851851851851853,0.5344124884571188,0.75
11746456_x_at,5,0.962962962962963,0.5925925925925926,0.5411718220815726,0.75
11715617_a_at,5,0.962962962962963,0.762962962962963,0.43080936366208433,0.75
11759416_x_at,5,0.962962962962963,0.8592592592592594,0.17253058813114244,0.75
11739813_a_at,5,0.962962962962963,0.6,0.5311942700535491,0.75
11752282_a_at,5,0.962962962962963,0.8296296296296297,0.2533723166886973,0.75
11748839_a_at,5,0.962962962962963,0.8814814814814815,0.18775987934276409,0.75
11728961_a_at,5,0.962962962962963,0.725925925925926,0.3736888372038352,0.75
11726384_at,5,0.962962962962963,0.9037037037037038,0.1272264002764272,0.5833333333333334
11741435_s_at,5,0.962962962962963,0.7555555555555555,0.4292143586909077,0.5
11755644_s_at,5,0.962962962962963,0.7555555555555555,0.3959673262490102,0.5
11718340_x_at,5,0.962962962962963,0.8518518518518519,0.25255892031455285,0.5
11752737_a_at,5,0.962962962962963,0.8222222222222223,0.28376268606485855,0.4166666666666667
11730005_a_at,5,0.962962962962963,0.6444444444444445,0.4790537082816303,0.3333333333333333
11724224_a_at,5,0.962962962962963,0.6888888888888889,0.39248775679226533,0.25
11717752_s_at,5,0.962962962962963,0.5851851851851853,0.5344124884571188,0.25
11719728_s_at,5,0.962962962962963,0.762962962962963,0.3519493042430992,0.25
11750862_a_at,5,0.962962962962963,0.6888888888888889,0.4433628815302346,0.25
11730433_a_at,5,0.962962962962963,0.7925925925925926,0.2827942099084604,0.25
11717214_s_at,5,0.962962962962963,0.9481481481481481,0.04222871944811622,0.25
11722834_x_at,5,0.962962962962963,0.674074074074074,0.4393223363617396,0.25
11728827_at,5,0.962962962962963,0.7111111111111111,0.40010286743130064,0.25
11728424_x_at,5,0.9444444444444444,0.6185185185185185,0.4849589520621155,0.75
11718260_at,5,0.9444444444444444,0.7444444444444445,0.4260064336151292,0.25
11725180_a_at,5,0.925925925925926,0.7555555555555556,0.42439337809277683,0.75
11723893_s_at,5,0.925925925925926,0.6296296296296297,0.4771888417305602,0.75
11741086_x_at,5,0.925925925925926,0.7185185185185186,0.41787889503906184,0.75
11759627_at,5,0.925925925925926,0.7185185185185186,0.4104265237687428,0.75
11718568_a_at,5,0.925925925925926,0.7333333333333334,0.40774396872660396,0.75
11719686_a_at,5,0.925925925925926,0.6074074074074074,0.4882712147459851,0.75
11726636_s_at,5,0.925925925925926,0.8148148148148149,0.23129622216290363,0.75
11748615_a_at,5,0.925925925925926,0.7037037037037038,0.34743820443136514,0.75
11763557_x_at,5,0.925925925925926,0.6740740740740742,0.4217996585928278,0.75
11715462_x_at,5,0.925925925925926,0.7703703703703704,0.39405736528208557,0.75
11721499_x_at,5,0.925925925925926,0.788888888888889,0.3716644060533956,0.75
11747020_x_at,5,0.925925925925926,0.6407407407407407,0.46950927304579887,0.75
11750585_a_at,5,0.925925925925926,0.7777777777777779,0.2916299212596967,0.75
11724645_at,5,0.925925925925926,0.8296296296296296,0.26397821749934014,0.75
11754863_s_at,5,0.925925925925926,0.5962962962962963,0.5202352533161002,0.6666666666666666
11745165_a_at,5,0.925925925925926,0.8962962962962964,0.08029438292103261,0.6666666666666666
11718920_a_at,5,0.925925925925926,0.7555555555555556,0.40538217162998896,0.3333333333333333
11721777_at,5,0.925925925925926,0.8296296296296297,0.22619898495707363,0.25
11720392_at,5,0.925925925925926,0.7555555555555556,0.4243933780927769,0.25
11748410_a_at,5,0.925925925925926,0.7777777777777779,0.3142696805273545,0.25
11754278_x_at,5,0.925925925925926,0.7185185185185186,0.41292559206425883,0.25
11760387_at,5,0.925925925925926,0.8814814814814815,0.1345622379598885,0.25
11751304_a_at,5,0.925925925925926,0.6592592592592592,0.42179965859282775,0.25
11763426_a_at,5,0.925925925925926,0.7407407407407407,0.40740740740740744,0.25
11740553_a_at,5,0.9259259259259259,0.5851851851851853,0.5350538093268484,0.75
11745779_a_at,5,0.9259259259259259,0.7555555555555555,0.31053738987043833,0.75
11733938_x_at,5,0.9259259259259259,0.8814814814814815,0.0993807989999907,0.75
11716765_s_at,5,0.9259259259259259,0.5925925925925926,0.5250906251391787,0.75
11715423_s_at,5,0.9259259259259259,0.711111111111111,0.41275945824459354,0.75
11723468_at,5,0.9259259259259259,0.8222222222222222,0.28011363557317087,0.75
11716346_at,5,0.9259259259259259,0.7333333333333334,0.36420799315376357,0.75
11747992_a_at,5,0.9259259259259259,0.7037037037037037,0.3989010968247781,0.75
11723153_a_at,5,0.9259259259259259,0.5851851851851853,0.4838970743875427,0.75
11740652_x_at,5,0.9259259259259259,0.6814814814814815,0.4137552605561167,0.75
11723842_s_at,5,0.9259259259259259,0.6,0.5154672125246461,0.75
11759205_a_at,5,0.9259259259259259,0.7777777777777778,0.29280348705262776,0.75
11744862_x_at,5,0.9259259259259259,0.8222222222222222,0.24201939633636355,0.75
11724005_s_at,5,0.9259259259259259,0.7111111111111111,0.40436575004314607,0.75
11726019_at,5,0.9259259259259259,0.8814814814814815,0.14200214453837642,0.75
11716389_a_at,5,0.9259259259259259,0.6370370370370371,0.4501181067383509,0.75
11752689_a_at,5,0.9259259259259259,0.6888888888888889,0.3827558720818908,0.75
11717091_s_at,5,0.9259259259259259,0.7185185185185186,0.31492372843676014,0.75
11723792_at,5,0.9259259259259259,0.7185185185185186,0.4120942532059592,0.4166666666666667
11745768_a_at,5,0.9259259259259259,0.5925925925925926,0.5085011191757771,0.25
11718078_a_at,5,0.9259259259259259,0.6,0.4531553753831936,0.25
11741190_a_at,5,0.9259259259259259,0.6518518518518519,0.4339817876868749,0.25
11747190_a_at,5,0.9259259259259259,0.6518518518518519,0.43947842886492816,0.25
11755086_x_at,5,0.9259259259259259,0.6592592592592593,0.40774396872660396,0.25
11744180_a_at,5,0.9259259259259259,0.8222222222222222,0.21817298481515762,0.25
11747203_x_at,5,0.888888888888889,0.5703703703703704,0.5222090883559871,0.75
11732338_a_at,5,0.888888888888889,0.5925925925925927,0.5091750772173155,0.75
11739944_x_at,5,0.888888888888889,0.6296296296296297,0.4065647851870398,0.75
11732821_a_at,5,0.888888888888889,0.6740740740740742,0.38167920082928153,0.75
11738519_x_at,5,0.888888888888889,0.5777777777777778,0.4959368515931999,0.75
11735695_a_at,5,0.888888888888889,0.874074074074074,0.13250773199998753,0.75
11757881_s_at,5,0.888888888888889,0.8185185185185185,0.21372648957412604,0.75
11727904_s_at,5,0.888888888888889,0.7037037037037037,0.414086662499961,0.75
11730383_a_at,5,0.888888888888889,0.6962962962962963,0.4001028674313007,0.75
11751795_a_at,5,0.888888888888889,0.7111111111111111,0.3201080064641763,0.75
